 Tutorial/Deselects everything., 教程/取消选择所有内容。
 Object Type/Guard/Named object guards nearest kindof., 对象类型/守卫/指定对象守卫最近的指定类型。
 Object Type/Guard/Named object guards., 对象类型/守卫/指定对象进行守卫。
 Object Type/Hulk set override lifetime., 对象类型/废墟 设置覆盖生命周期。
 Object Type/Move/Face a waypoint., 对象类型/移动/面向航点。
 Object Type/Move/Face another unit., 对象类型/移动/面向另一个单位。
 Object Type/Move/Named object follow a waypoint path -- exactly., 对象类型/移动/指定对象准确地沿着航点路径移动。
 Object Type/Move/Named object follow a waypoint path starting at waypoint., 对象类型/移动/指定对象从航点开始沿着路径移动。
 Object Type/Move/Named object follow a waypoint path., 对象类型/移动/指定对象沿着路径移动。
 Object Type/Move/Named object move to a location., 对象类型/移动/指定对象移动到位置。
 Object Type/Move/Teleport named object to waypoint., 对象类型/移动/瞬间将指定对象传送到航点。
 Object Type/Move/Unit stops., 对象类型/移动/单位停止。
 Object Type/Repair/Repair named Object., 对象类型/修理/修理指定对象。
 Object Type/SequentialScript/Named object idles for some number of frames., 对象类型/顺序脚本/指定对象闲置若干帧。
 Object Type/SequentialScript/Named object idles for some number of seconds., 对象类型/顺序脚本/指定对象闲置若干秒。
 Object Type/SequentialScript/Set a named object to stop executing a sequential script., 对象类型/顺序脚本/设置指定对象停止执行顺序脚本。
 Object Type/Settings/Change Custom Model Condition flag., 对象类型/设置/更改自定义模型条件标记。
 Object Type/Settings/Change Object flags., 对象类型/设置/更改对象标记。
 Object Type/Settings/Change object status., 对象类型/设置/更改对象状态。
 Object Type/Settings/Clear model condition flag on a named object., 对象类型/设置/清除指定对象的模型条件标记。
 Object Type/Settings/Disable -- enable or disable., 对象类型/设置/禁用或启用。
 Object Type/Settings/Enables or disables the house color, 对象类型/设置/启用或禁用家族颜色。
 Object Type/Settings/Give upgrade to named object., 对象类型/设置/将升级赋予指定对象。
 Object Type/Settings/Remove upgrade from named object., 对象类型/设置/从指定对象中移除升级。
 Object Type/Settings/Set a model condition flag on a named object for duration(optional)., 对象类型/设置/在指定对象上设置模型条件标记，可设置持续时间。
 Object Type/Settings/Set a model condition flag on a named object for duration. % specifies # of members in horde that get this., 对象类型/设置/在指定对象上设置模型条件标记，可设置持续时间。%表示接收此设置的军团成员数量。
 Object Type/Settings/Set the max health of a unit., 对象类型/设置/设置单位的最大生命值。
 Object Type/Settings/Set topple direction., 对象类型/设置/设置翻倒的方向。
 Object Type/Settings/Sets a unit's current stance, 对象类型/设置/设置单位的当前状态。
 Object Type/Settings/Stealth -- enable or disable., 对象类型/设置/隐身-启用或禁用。
 Object Type/Spawn/Spawn -- named object on Team at a named object's position., 对象类型/生成/在一名对象位置上生成指定的队伍名字的物体。
 Object Type/Spawn/Spawn a named object on a team at a waypoint with an orientation., 对象类型/生成/在一个指定的路标上，以一定的朝向，生成指定队伍的物体。
 Object Type/Spawn/Spawn a named object on a team at a waypoint., 对象类型/生成/在一个指定的路标上，生成指定队伍的物体。
 Object Type/Spawn/Spawn an unnamed object on a team at a waypoint with an orientation., 对象类型/生成/在一个指定的路标上，以一定的朝向，生成一个未命名的物体。
 Object Type/Spawn/Spawn an unnamed object on a team at a waypoint., 对象类型/生成/在一个指定的路标上，生成一个未命名的物体。
 Object Type/Special Power/Countdown timer -- pause., 对象类型/特殊技能/倒计时计时器 -- 暂停。
 Object Type/Special Power/Countdown timer -- resume., 对象类型/特殊技能/倒计时计时器 -- 恢复。
 Object Type/Special Power/Countdown timer -- set., 对象类型/特殊技能/倒计时计时器 -- 设置。
 Object Type/Special Power/Special Power -- fire at location., 对象类型/特殊技能/特殊技能 -- 在指定位置释放。
 Map/Fog or Reveal/Border Shroud is turned off., 地图/雾或揭示/边缘迷雾关闭。
 Map/Fog or Reveal/Border Shroud is turned on., 地图/雾或揭示/边缘迷雾开启。
 Map/Fog or Reveal/Reveal map at waypoint -- fog., 地图/雾或揭示/在路径点处揭示地图-迷雾。
 Map/Fog or Reveal/Reveal map at waypoint -- permanently., 地图/雾或揭示/在路径点处永久揭示地图。
 Map/Fog or Reveal/Reveal map at waypoint -- undo permanently., 地图/雾或揭示/在路径点处撤销永久揭示地图。
 Map/Fog or Reveal/Reveal map in polytrigger -- permanently., 地图/雾或揭示/在多边形触发器中永久揭示地图。
 Map/Fog or Reveal/Reveal map in polytrigger -- undo permanently., 地图/雾或揭示/在多边形触发器中撤销永久揭示地图。
 Map/Fog or Reveal/Reveal map in trigger -- fog., 地图/雾或揭示/在触发器中揭示地图-迷雾。
 Map/Fog or Reveal/Reveal the entire map permanently for Player., 地图/雾或揭示/永久揭示整张地图的玩家。
 Map/Fog or Reveal/Set Re-Fog delay., 地图/雾或揭示/设置重新迷雾延迟。
 Map/Fog or Reveal/Un-Reveal the entire map permanently for Player., 地图/雾或揭示/永久取消揭示整张地图的玩家。
 Map/Gameplay/Adjust Object Bonuses based on difficulty., 地图/游戏玩法/根据难度调整对象奖励。
 Map/Make area impassable for human player., 地图/使区域对玩家不可通过。
 Map/Modify/Change the active border of the map., 地图/修改/更改地图的活动边界。
 Map/Modify/Enables or disables the house color for all units, 地图/修改/启用或禁用所有单位的阵营颜色。
 Map/Modify/Exit Map, 地图/修改/退出地图。
 Media/Audio/All Sounds/Remove all reverb effects, 媒体/声音/全部音效/移除所有混响效果。
 Media/Audio/All Sounds/Resume all sounds., 媒体/声音/全部音效/恢复所有音效。
 Media/Audio/All Sounds/Set global reverb room type., 媒体/声音/全部音效/设置全局混响房间类型。
 Media/Audio/All Sounds/Suppress reverb within an area, 媒体/声音/全部音效/抑制一个区域内的混响效果。
 Media/Audio/All Sounds/Suspend all sounds., 媒体/声音/全部音效/暂停所有音效。
 Media/Audio/All Sounds/Unsuppress all reverb, 媒体/声音/全部音效/取消抑制所有混响效果。
 Media/Audio/All Sounds/Unsuppress reverb in an area, 媒体/声音/全部音效/取消抑制一个区域内的混响效果。
 Media/Audio/EVA/Enable or Disable EVA., 媒体/语音/启用或禁用AI协同指挥官的语音。
 Media/Audio/EVA/Play a sound effect as AI co-commander dialog, and subtitle it., 媒体/语音/播放一个声音效果作为AI协同指挥官对话，并加上字幕。
 Media/Audio/EVA/Play a sound effect as AI co-commander dialog., 媒体/语音/播放一个声音效果作为AI协同指挥官对话。
 Media/Audio/EVA/Play a sound effect as if it were an EVA event, and subtitle it., 媒体/语音/播放一个声音效果作为EVA事件，并加上字幕。
 Media/Audio/EVA/Play a sound effect as if it were an EVA event., 媒体/语音/播放一个声音效果作为EVA事件。
 Media/Audio/Music/Play a music track a certain number of times, then set a flag., 媒体/音乐/播放一个音乐曲目一定次数，然后设置一个标志。
 Media/Audio/Music/Play a music track a certain number of times., 媒体/音乐/播放一个音乐曲目一定次数。
 Media/Audio/Music/Play a music track., 媒体/音乐/播放一个音乐曲目。
 Media/Audio/Music/Play SPECIAL END-OF-LEVEL music a certain number of times., 媒体/音乐/播放特殊的结局音乐曲目一定次数。
 Media/Audio/Music/Pop music track., 媒体/音乐/弹出音乐曲目。
 Media/Audio/Music/Push music track and play it a certain number of times., 媒体/音乐/推入音乐曲目并播放一定次数。
 Media/Audio/Music/Push music track, play it a certain number of times, then set a flag., 媒体/音乐/推入音乐曲目，播放一定次数，然后设置一个标志。
 Media/Audio/Music/Push music track., 媒体/音乐/推入音乐曲目。
 Media/Audio/PathfinderMusic/Disable Dynamic System., 媒体/声音/路径导航音乐/禁用动态系统。
 Media/Audio/PathfinderMusic/Enable Specific Dynamic System., 媒体/声音/路径导航音乐/启用特定的动态系统。
 Media/Audio/PathfinderMusic/Enable Standard Dynamic System., 媒体/声音/路径导航音乐/启用标准的动态系统。
 Media/Audio/PathfinderMusic/Fade In Music., 媒体/声音/路径导航音乐/淡入音乐。
 Media/Audio/PathfinderMusic/Fade Out Music., 媒体/声音/路径导航音乐/淡出音乐。
 Media/Audio/PathfinderMusic/Play Event., 媒体/声音/路径导航音乐/播放事件。
 Media/Audio/PathfinderMusic/Resume Dynamic System., 媒体/声音/路径导航音乐/恢复动态系统。
 Media/Audio/PathfinderMusic/Stop Music., 媒体/声音/路径导航音乐/停止音乐。
 Media/Audio/Sound Effect/Play 2D sound effect., 媒体/声音/音效/播放2D音效。
 Media/Audio/Sound Effect/Play a sound as though coming from a named object., 媒体/声音/音效/从指定物体播放声音。
 Media/Audio/Sound Effect/Play sound effect at waypoint., 媒体/声音/音效/在路径点播放音效。
 Media/Audio/Sound Effect/Play sound effect from team., 媒体/声音/音效/从团队播放音效。
 Media/Audio/Sound Effect/Resume the ambient sounds., 媒体/声音/音效/恢复环境声音。
 Media/Audio/Sound Effect/Suspend the ambient sounds., 媒体/声音/音效/暂停环境声音。
 Media/Audio/Sound Events/Sound Events -- disable type., 媒体/声音/音效事件/禁用类型。
 Media/Audio/Sound Events/Sound Events -- enable all., 媒体/声音/音效事件/启用全部。
 Media/Audio/Sound Events/Sound Events -- enable type., 媒体/声音/音效事件/启用类型。
 Media/Audio/Volume/Fade all audio, 媒体/声音/音量/渐变全部音频。
 Media/Audio/Volume/Make all sounds subject to fade, 媒体/声音/音量/使所有声音逐渐消失。
 Media/Audio/Volume/Make sound immune to fade, 媒体/声音/音量/使声音免于消失。
 Media/Audio/Volume/Make sound subject to fade, 媒体/声音/音量/使声音逐渐消失。
 Media/Audio/Volume/Set the current music volume., 媒体/声音/音量/设置当前音乐音量。
 Media/Audio/Volume/Set the current sound volume., 媒体/声音/音量/设置当前声音音量。
 Media/Video/Play a movie in fullscreen mode., 媒体/视频/全屏播放电影。
 Media/Video/Play a movie in the radar., 媒体/视频/在雷达上播放电影。
 Interface/Counters and Timers/All timers -- display., 界面/计数器和定时器/显示所有定时器
 Interface/Counters and Timers/All timers -- hide., 界面/计数器和定时器/隐藏所有定时器
 Interface/Counters and Timers/Specific counter -- display., 界面/计数器和定时器/显示特定计数器
 Interface/Counters and Timers/Specific counter -- hide., 界面/计数器和定时器/隐藏特定计数器
 Interface/Counters and Timers/Specific timer -- display., 界面/计数器和定时器/显示特定定时器
 Interface/Counters and Timers/Specific timer -- hide., 界面/计数器和定时器/隐藏特定定时器
 Interface/Enable or disable the co-op AI command panel, 界面/启用或禁用协作AI命令面板
 Interface/Fade/Fade-in from black, 界面/淡入/从黑色淡入
 Interface/Fade/Fade-out to black, 界面/淡出/到黑色淡出
 Interface/Info Box/Remove Info Box, 界面/信息框/删除信息框
 Interface/Info Box/Show Info Box, 界面/信息框/显示信息框
 Interface/Input/User input -- disable., 界面/输入/禁用用户输入
 Interface/Input/User input -- enable., 界面/输入/启用用户输入
 Interface/Mission Hot-Spot/Link mission hot-spot to object, 界面/任务热点/将任务热点链接到对象
 Interface/Mission Hot-Spot/Link mission hot-spot to waypoint, 界面/任务热点/将任务热点链接到路径点
 Interface/Mission Hot-Spot/Set mission hot-spot to be active or inactive, 界面/任务热点/设置任务热点为活动或非活动状态
 Interface/Mission Hot-Spot/Set visibility of mission hot-spot, 界面/任务热点/设置任务热点的可见性
 Interface/Objectives/Link mission objective to object using icon, 界面/目标/使用图标将任务目标链接到对象
 Interface/Objectives/Link mission objective to object, 界面/目标/将任务目标链接到对象
 Interface/Objectives/Link mission objective to waypoint using icon, 界面/目标/使用图标将任务目标链接到路径点
 Interface/Objectives/Mark mission objective as completed, 界面/任务目标/标记任务目标为已完成
 Interface/Objectives/Mark mission objective as not completed, 界面/任务目标/标记任务目标为未完成
 Interface/Objectives/Set mission objective status, 界面/任务目标/设置任务目标状态
 Interface/Radar/Create a radar event at a named object., 界面/雷达/在指定对象上创建雷达事件。
 Interface/Radar/Create a radar event at a specified location., 界面/雷达/在指定位置创建雷达事件。
 Interface/Radar/Create a radar event at a Team., 界面/雷达/在小组创建雷达事件。
 Interface/Show unit intro, 界面/显示单位介绍
 Interface/Toggle CoOp AI interface., 界面/切换合作AI界面。
 Base Builder/Eliminate all building footprints., 基地建造者/消除所有建筑物足迹。
 Base Builder/Eliminate building footprint., 基地建造者/消除建筑物足迹。
 Base Builder/Move structure to top of build list., 基地建造者/将结构移动到构建列表顶部。
 Campaign/Create campaign auto save checkpoint., 战役/创建战役自动保存检查点。
 Campaign/Set or clear a campaign flag, 战役/设置或清除战役标志。
 Cinematics/Camera/Add Camera Shaker Effect at., 电影/相机/在指定位置添加相机震动效果。
 Cinematics/Camera/Begin tether camera to a specific unit., 电影/相机/开始将相机锁定到特定单位。
 Cinematics/Camera/Begin tether player's camera to a specific unit., 电影/相机/开始将玩家相机锁定到特定单位。
 Cinematics/Camera/Camera look toward point while moving., 电影/相机/相机在移动时朝向指定点。
 Cinematics/Camera/Change the camera depth of field., 电影/相机/更改相机景深。
 Cinematics/Camera/Change the camera pitch., 电影/相机/更改相机俯仰角。
 Cinematics/Camera/Change the camera roll., 电影/相机/更改相机翻转。
 Cinematics/Camera/Change the camera zoom., 电影/相机/更改相机缩放。
 Cinematics/Camera/Change the camera's focal length (mm)., 电影/相机/更改相机的焦距（毫米）。
 Cinematics/Camera/End movement at selected unit., 电影/相机/移动相机到选定的单位。
 Cinematics/Camera/End tether to any units., 电影/相机/结束与任何单位的相机锁定。
 Cinematics/Camera/Follow a specific unit., 电影/相机/跟随特定单位。
 Cinematics/Camera/Move along a spline path., 电影/相机/沿着样条路径移动。
 Cinematics/Camera/Move the camera for player to a location., 电影/相机/将相机移动到玩家的位置。
 Cinematics/Camera/Move the camera for player to a named object's location., 电影/相机/将相机移动到指定命名对象的位置。
 Cinematics/Camera/Move the camera to a location., 电影/相机/将相机移动到一个位置。
 Cinematics/Camera/Move the camera to a named object's location., 电影/相机/将相机移动到命名对象的位置。
 Cinematics/Camera/Move using camera animation., 电影/相机/使用相机动画进行移动。
 Cinematics/Camera/Order camera's locator to follow a spline path., 电影/相机/命令相机定位器沿着样条路径移动。
 Cinematics/Camera/Reset to the default view., 电影/相机/重置为默认视图。
 Cinematics/Camera/Restore (un-dim) all global and ambient lights., 电影/相机/恢复（取消调暗）所有全局和环境光。
 Cinematics/Camera/Restrict camera movement to area., 电影/相机/限制相机移动区域。
 Cinematics/Camera/Rotate around the current viewpoint., 电影/相机/围绕当前视点旋转。
 Cinematics/Camera/Rotate the camera in place., 电影/相机/原地旋转相机。
 Cinematics/Camera/Rotate to a specific view angle., 电影/相机/旋转到特定视角。
 Cinematics/Camera/Rotate to look at a waypoint., 电影/相机/旋转以查看航点。
 Cinematics/Camera/Rotate toward unit., 电影/相机/旋转朝向单位。
 Cinematics/Camera/Set Final pitch for camera movement., 电影/相机/设置相机运动的最终俯仰角。
 Cinematics/Camera/Set Final zoom for camera movement., 电影/相机/设置相机运动的最终缩放。
 Cinematics/Camera/Set up the camera., 电影/相机/设置相机。
 Cinematics/Camera/Shake Screen., 电影/相机/屏幕震动。
 Cinematics/Camera/Stop following any units., 电影/相机/停止跟随任何单位。
 Cinematics/Force Emotion/Follow a waypoint path -- panic., 电影/强制情感/跟随路径点 - 恐慌。
 Cinematics/Force Emotion/Force a named object to have an emotion for duration., 电影/强制情感/强制命名对象在一段时间内具有情感。
 Cinematics/Force Emotion/Force a team to have an emotion for duration., 电影/强制情感/强制团队在一段时间内具有情感。
 Cinematics/Force Emotion/Force all of player's units to have an emotion for duration., 电影/强制情感/强制所有玩家的单位在一段时间内具有情感。
 Cinematics/Force Emotion/Idle all units for all players., 电影/强制情感/使所有玩家的单位闲置。
 Cinematics/Lighting/Begin bloom lighting effect., 电影/灯光/启用曝光特效。
 Cinematics/Lighting/Dim all global and ambient lights., 电影/灯光/调暗所有全局和环境灯光。
 Cinematics/Lighting/End bloom lighting effect., 电影/灯光/关闭曝光特效。
 Cinematics/Settings/Enable or Disable Draw-icon UI., 电影/设置/启用或禁用绘制图标UI。
 Cinematics/Settings/Enable or Disable Occlusion (Drawing Behind Buildings)., 电影/设置/启用或禁用遮挡（绘制在建筑物后面）。
 Cinematics/Settings/Enable or Disable Particle Cap., 电影/设置/启用或禁用粒子容量。
 Cinematics/Settings/End letterbox mode., 电影/设置/结束信箱模式。
 Cinematics/Settings/Freeze time during the camera movement., 电影/设置/在相机移动期间冻结时间。
 Cinematics/Settings/Freeze time., 电影/设置/冻结时间。
 Cinematics/Settings/Hide UI, 电影/设置/隐藏UI。
 Cinematics/Settings/Show UI, 电影/设置/显示UI。
 Cinematics/Settings/Start letterbox mode(shows radar)., 电影/设置/开始信箱模式（显示雷达）。
 Cinematics/Settings/Start letterbox mode., 电影/设置/开始信箱模式。
 Cinematics/Settings/Unfreeze time., 电影/设置/取消冻结时间。
 Cinematics/Toggle AVI capture, 电影/切换AVI捕获
